,A,B,C,D,E,F,G,H,J
17.0,6301254,9951579,7054530,6607810,5912358,7184184,6952069,6111579,7001436
32.0,7157493,10027395,7386750,6914751,6172015,7548264,8795550,9129148,7282821
49.0,7593681,10513300,7476910,7208136,6095078,7822984,9034740,8908137,7546890
