,3,4,5,6,8,A,B
2.0,3687250,3530416,,3530416,3904848,6211942,6110460
3.0,4836790,4491774,,4468940,4051530,6234652,6132870
4.0,3714200,3483480,,3516700,4066245,6257362,6155280
