,1,2,3,5,507,6,7,8,9
10.0,13542,13650,13784,13585,12631,13902,12636,12505,13730
22.0,14276,14109,14365,14321,13540,13795,13283,13060,14110
33.0,14829,14464,15070,14154,13707,13979,13722,13557,14122
