,1,2,3,5,507,6,7,8,9
10.0,8815842,10182900,10282864,8843835,5898677,5546898,5901012,5839835,5505730
22.0,9293676,10525314,10716290,9322971,6323180,6180160,6203161,6099020,6321280
33.0,9653679,10790144,11242220,6609918,6401169,6262592,6408174,6331119,6326656
