,A,B,C,E,F,G,H,I,J,K,L
2.0,405,405,340,405,340,405,405,340,380,445,335
3.0,405,405,340,405,340,405,405,340,380,445,335
4.0,405,405,340,405,340,405,405,340,380,445,335
