,A,B,C,D,E,F,G,H,J
17.0,7049913,9726228,6954570,6606864,5781700,6861159,6325683,6120270,7107256
32.0,7309083,10011675,7334810,7169562,5990474,6817535,8511342,9338134,6931691
49.0,7252359,10379435,7222600,7260552,6162161,7248956,9089652,9083907,7578155
