,A,B,C,CD,D,E,F,G,H
9.0,13344,14121,14096,13832,13887,14358,14120,14385,14350
22.0,13911,14728,14766,14501,14814,14950,14780,14599,14632
37.0,14420,15222,15644,15378,15445,15860,15542,14324,15717
