,A,D,E,F,G,H,I,K,L,M,N,O,P,Q,R
2.0,3829420,4429472,2776628,2960004,4629422,3325245,3425009,2844390,3100416,3274374,3141153,3271071,3120234,3100416,3087358
4.0,3857028,4460464,2824224,2795024,4679583,3333330,3449376,2851470,3122436,3298963,3159870,3369060,3130510,3122803,2977330
5.0,3870832,4475960,2804368,2804368,3939343,3344110,3461353,2860320,3133446,3310707,3170880,3309973,3141520,3133813,2988056
