,A,B,C,E,F,G,H,J,K
4.0,4388580,4628736,5656330,4874364,4388580,5870272,5740700,5656330,4824512
10.0,4497800,4713192,5797340,4995848,4497800,6000512,5885840,5797340,4944544
18.0,4643140,4874848,5984370,5157020,4643140,6188768,6090570,5984370,5103780
