,A,D,E,F,G,H,I,K,L,M,N,O,P,Q,R
2.0,8045,7432,9509,10137,9506,8637,8293,9642,8448,8922,8559,8913,8502,8448,8923
4.0,8103,7484,9672,9572,9609,8658,8352,9666,8508,8989,8610,9180,8530,8509,8605
5.0,8132,7510,9604,9604,8089,8686,8381,9696,8538,9021,8640,9019,8560,8539,8636
