,A,D,E,F,G,H,I,K,L,M,N,O,P,Q,R
2.0,476,596,292,292,487,385,413,295,367,367,367,367,367,367,346
4.0,476,596,292,292,487,385,413,295,367,367,367,367,367,367,346
5.0,476,596,292,292,487,385,413,295,367,367,367,367,367,367,346
