,30,A2,A3,B10,B5,B6,B9,C11,C12,C7,D14,D15,D16,D17,D18,E19,E20,E21,E22,E23,E24,F25,F26,F28,F29,F29 & F30,F29F30,F30,G31,G32,G33,G34,G35,G36,H37,H38,H39,H40
2.0,2230550,3753290,3753290,2530010,2370060,2217015,2523665,2491940,2530010,1793480,3005470,2704320,2722200,2744700,2504865,2539230,2370280,2444200,2744700,2744700,2744700,2213060,2444200,2473200,2380600,3612000,3612000,2230550,2354000,2346200,2462200,2038300,2542500,2414250,2146155,2379025,2816000,2610750
4.0,2247525,3786865,3786865,2553510,2389640,2233602,2546695,2514265,2553510,1808040,3120455,2730510,2747100,2770500,2528365,2561755,2350920,2436940,2770500,2770500,2770500,2230400,2466860,2463525,2384400,3644250,3644250,2247525,2381280,2366200,2414620,2230230,2586750,2434950,2155230,2399525,2841575,2635250
5.0,2256625,3804245,3804245,2564555,2399540,2242494,2547635,2525310,2564555,1815320,3134790,2742390,2759400,2783400,2539410,2573945,2410320,2469500,2783400,2783400,2783400,2239920,2469500,2528325,2325400,3660750,3660750,2256625,2230360,2376200,2454920,2239240,2598500,2424375,2171235,2409775,2853125,2646750
