,30,A2,A3,B10,B5,B6,B9,C11,C12,C7,D14,D15,D16,D17,D18,E19,E20,E21,E22,E23,E24,F25,F26,F28,F29,F29 & F30,F29F30,F30,G31,G32,G33,G34,G35,G36,H37,H38,H39,H40
2.0,12746,9502,9502,10766,10773,12965,10739,10604,10766,13796,9854,10016,9074,9149,10659,9582,10774,11110,9149,9149,9149,13018,11110,10992,11903,9632,9632,12746,10700,11731,9470,11990,10170,10730,13007,11605,10240,10443
4.0,12843,9587,9587,10866,10862,13062,10837,10699,10866,13908,10231,10113,9157,9235,10759,9667,10686,11077,9235,9235,9235,13120,11213,10949,11922,9718,9718,12843,10824,11831,9287,13119,10347,10822,13062,11705,10333,10541
5.0,12895,9631,9631,10913,10907,13114,10841,10746,10913,13964,10278,10157,9198,9278,10806,9713,10956,11225,9278,9278,9278,13176,11225,11237,11627,9762,9762,12895,10138,11881,9442,13172,10394,10775,13159,11755,10375,10587
