,subjFloor,floorLv,unitNo,price,npsf,nfa
4.0/F低層1,4.0,低層,1,4760522,8593,554
11.0/F中層1,11.0,中層,1,4899022,8843,554
18.0/F高層1,18.0,高層,1,5038076,9094,554
4.0/F低層10,4.0,低層,10,3687195,9195,401
11.0/F中層10,11.0,中層,10,3781831,9431,401
18.0/F高層10,18.0,高層,10,3876467,9667,401
4.0/F低層2,4.0,低層,2,4769940,8610,554
11.0/F中層2,11.0,中層,2,4907886,8859,554
18.0/F高層2,18.0,高層,2,5047494,9111,554
4.0/F低層3,4.0,低層,3,3687195,9195,401
11.0/F中層3,11.0,中層,3,3781831,9431,401
18.0/F高層3,18.0,高層,3,3876467,9667,401
4.0/F低層4,4.0,低層,4,5377365,8337,645
11.0/F中層4,11.0,中層,4,5538615,8587,645
18.0/F高層4,18.0,高層,4,5701155,8839,645
4.0/F低層5,4.0,低層,5,3706042,9242,401
11.0/F中層5,11.0,中層,5,3801480,9480,401
18.0/F高層5,18.0,高層,5,3896116,9716,401
4.0/F低層6,4.0,低層,6,4769940,8610,554
11.0/F中層6,11.0,中層,6,4907886,8859,554
18.0/F高層6,18.0,高層,6,5047494,9111,554
4.0/F低層7,4.0,低層,7,4769940,8610,554
11.0/F中層7,11.0,中層,7,4907886,8859,554
18.0/F高層7,18.0,高層,7,5047494,9111,554
4.0/F低層8,4.0,低層,8,3687195,9195,401
11.0/F中層8,11.0,中層,8,3781831,9431,401
18.0/F高層8,18.0,高層,8,3876467,9667,401
4.0/F低層9,4.0,低層,9,5365755,8319,645
11.0/F中層9,11.0,中層,9,5526360,8568,645
18.0/F高層9,18.0,高層,9,5687610,8818,645
