,A,B,C,E,F,G,H,J,K
4.0,10206,9408,9587,10071,10206,9916,9730,9587,9968
10.0,10460,9738,9826,10322,10460,10136,9976,9826,10216
18.0,10798,10072,10143,10655,10798,10454,10323,10143,10545
