,A,B,BC,C,D,E,F
4.0,5645388,5895876,,5856480,6052872,4128317,3998961
11.0,6158712,6060516,,6119904,6223392,3810686,4437088
18.0,6094620,6132252,,6236328,6385092,3924094,4726810
