,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5A,5B,5C,5D,6A,6B,6C,6D,8D,A,B,C
2.0,,,,,,,,,,,,,,,,,,,,,939,
5.0,,,,,,,,,,,,,,,,,,,,,939,
7.0,,,,,,,,,,,,,,,,,,,,,939,
