,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5B,5C,5D,6A,6B,6C,6D,8A,8D,A,B,C
2.0,,,,,1139,,,,,,,,,,,,,,,,,1040,910,1126
5.0,,,,,1139,,,,,,,,,,,,,,,,,1040,1397,910
7.0,,,,,1139,,,,,,,,,,,,,,,,,1040,1397,910
