,A,B,C,D,E,F,G,H,I,J,K,L,M
6.0,377,371,379,379,371,371,346,371,371,379,379,371,378
15.0,377,371,379,379,371,371,346,371,371,379,379,371,378
23.0,377,371,379,379,371,371,346,371,371,379,379,371,378
