,A,AB,B,C,D,E,EF,F,G,GH,H
4.0,6944120,16574976,6893208,6339144,6981360,6785280,16574976,6969256,5734760,12409213,5249025
9.0,7169840,17120256,7249392,6490464,7204800,7144000,17120256,7164032,5891330,13006507,5612490
14.0,7233680,17562624,7266464,6875360,7398600,7226840,17562624,7355704,6046672,13375207,5840040
