,A,B,C,C & D,CD,D,E,EF,F,G
5.0,884,563,541,1352,1352,748,547,1322,551,521
10.0,749,463,563,1352,1352,748,547,1098,551,521
17.0,748,563,541,1352,1352,811,547,1098,545,521
