,1,2,A,B,C,D,E,INFINITY POOL HOUSE,SA,SB,SIMPLE BIJOU,SIMPLEX AZURE,SIMPLEX BIJOU,SKY POOL HOUSE 1,SKY POOL HOUSE 2,VERANDAH SIMPLEX
4.0,12699,12869,14108,10070,10593,11797,12053,,12691,12692,12692,12652,12469,12694,12449,13123
9.0,13189,13364,14124,10825,10993,12271,12505,,13181,13182,13182,13140,13182,13184,12931,13625
16.0,13863,14047,14909,11320,11561,14889,13284,,13858,13856,13856,13812,13613,13858,13591,14320
