,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
2.0,588,588,504,504,488,488,485,485,414,414,447,447
3.0,588,588,504,504,488,488,485,485,414,414,447,447
4.0,588,588,504,504,488,488,485,485,414,414,447,447
