,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
3.0,383,383,391,450,380,380,543,454,383,391,388,384,384,389,391,383
8.0,383,383,391,450,380,380,543,454,383,391,388,384,384,389,391,383
12.0,383,383,391,450,380,380,543,454,383,391,388,384,384,389,391,383
