,A,AB,B,BC,C,D,E,F
5.0,8820,9371,9628,9903,7898,8451,9659,8052
12.0,8836,9786,9785,10350,8203,8574,9924,8348
20.0,9239,10241,10206,10838,8807,9270,10320,8439
