,A01,A02,A03,A05,A06,A07,A08,A09,A10,A11,A12,A13,A15,A16,B01,B02,B03,B05,B06,B07,B08,C01,C02,C03,C05,C06,C07,D01,D02,D03,D05,D06,D07,D08
2.0,,8502,8091,8013,8542,8048,7499,7952,8735,8542,8645,8091,6602,11063,8626,8626,8703,8626,8626,8048,7500,7247,8703,8626,7846,8194,8194,8759,8735,8696,8770,8626,8347,8658
3.0,,8544,8133,8101,8585,8090,8585,7925,7524,8585,8672,8133,8531,11121,8669,8669,8747,8669,6737,8090,7541,7288,8747,8669,8071,8237,8237,8805,8781,8740,8756,8669,8421,8702
