,A,B,C,D,E,F,G,H,J
9.0,5812356,5697302,5687100,5625536,5547822,5559540,5345802,5698259,8426924
22.0,6195200,6061874,6026190,5845933,5999616,5897626,5751963,6025580,8778929
33.0,6462368,6300476,6354155,6039484,6173216,6200124,6042141,6262203,9128663
