,A1,A4,B1B4,B3,B4,C1,C2,C3,C4
2.0,8694,8576,6858,8568,8594,7208,8841,8758,8595
3.0,8740,7900,6894,8614,8639,7276,8888,8805,8640
4.0,8786,8665,7401,8660,8648,7337,8935,8852,8708
