,A,B,C,D,E,F,G,H,I
15.0,9990,10477,11147,10524,11465,11837,12367,13122,10742
32.0,10913,11162,12196,10999,11477,12563,12285,14275,11795
51.0,11694,11967,12673,12087,11694,13084,12198,14172,12312
