,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5A,5B,5C,5D,6A,6C,6D,8A,8D,A,B,C
2.0,1451,1126,1144,1468,1139,939,939,1139,1040,910,910,1040,1040,910,910,1040,1040,1397,1040,1552,1551,1139,939,939
5.0,1451,1126,1144,1468,1139,939,939,1139,1040,910,910,1040,1040,910,910,1040,1040,1397,1040,1552,1551,1040,939,1397
7.0,1451,1126,1144,1468,1139,939,939,1139,1040,910,910,1040,1040,910,910,1040,1040,1397,1040,1552,1551,1040,939,1397
