,A,B,C,C & D,CD,D,E,F,G,H
15.0,10004,10192,10060,12789,12789,10290,12152,12129,12348,12322
32.0,10587,11033,11068,13726,13726,11138,12878,12870,12933,13427
51.0,11595,11906,12517,14728,14728,11611,14038,13938,14113,12586
