,A,AB,B,C,D,E,F,G,GH,H
5.0,5786884,13758030,6852666,7958268,7579872,7961760,8136666,6466332,13758030,5696036
12.0,5984612,14285700,6911340,8276904,7835616,7813152,8448624,6697980,14285700,5909128
20.0,6213068,15132260,7183374,8810190,8172576,8485344,8811144,6948678,15132260,6152280
