,1,10,2,3,5,6,7,8,9
6.0,7706340,6194907,7800300,6191328,5289220,5017208,4910208,4902660,7703380
15.0,8227764,6809943,7947960,6661776,5191940,5208896,5033472,5290488,8001396
22.0,8631612,6442484,8370261,6667988,5309790,5578160,5171712,5412960,7819028
