,A,B,C,C & D,CD,D,E,EF,F,G
5.0,12874,12532,13700,14609,14609,11665,12578,14493,12818,13654
10.0,12848,14578,13118,15067,15067,12068,12643,13511,13527,13804
17.0,13061,12890,14234,15902,15902,12626,13145,14194,13698,14370
