,A,AB,B,C,CD,D,E,F,G,GH,H
5.0,8722,10014,8390,8918,10642,8793,8392,8895,7963,10014,8843
12.0,8990,10208,8462,9069,11038,9082,8762,9325,8471,10208,9084
20.0,9560,10587,9018,9433,11491,9385,8936,9740,8820,10587,9447
