,A,AB,B,C,D,E,F,G,H
9.0,5940624,13817664,6063168,9515408,6258824,5621100,5991273,5895693,5479896
19.0,6296112,14605920,6477168,9892768,6555692,5903508,6307218,6453243,5674236
29.0,6673128,15408528,6863568,10388000,6972108,6175092,6658209,6581214,6178044
