,A,B,C,D,E,F,G,H,I
17.0,8166745,10534805,10331308,8877505,8865010,7023168,5799926,6838761,7152919
33.0,8567159,10848627,10618988,9670262,9440200,7133172,6122039,7192325,7518930
60.0,9487029,11866281,21859644,21914105,21719640,7558770,6674030,7702966,8463123
