,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5B,5C,5D,6A,6B,6C,6D,8A,8D,A,B,C
2.0,,,,,14158,,,,,,,,,,,,,,,,,16288,14271,16817
5.0,,,,,14379,,,,,,,,,,,,,,,,,16544,16378,16154
7.0,,,,,14527,,,,,,,,,,,,,,,,,16714,16547,16322
