,A1,A4,B1B4,B3,B4,C1,C2,C3,C4
2.0,3173310,3344640,4862322,3504312,3111028,3085024,3147396,3109090,3334860
3.0,3190100,3081000,4887846,3523126,3127318,3114128,3164128,3125775,3352320
4.0,3206890,3379350,5247309,3541940,3130576,3140236,3180860,3142460,3378704
