,A,B,C,C & D,CD,D,E,F,G,H
15.0,10715,11062,11110,,,10465,11943,12406,12783,11982
32.0,11670,12044,12018,,,11013,12595,13236,12460,13066
51.0,12400,14590,14590,,,12064,13648,14401,13597,13661
