,A,AB,B,C,CD,D,E,F,G,GH,H
5.0,668,1430,762,954,1818,864,864,954,762,1430,668
12.0,668,1430,762,954,1818,864,864,954,762,1430,668
20.0,668,1430,762,954,1818,864,864,954,762,1430,668
