,1,2,3,5,6,7,8,9
6.0,7278482,7324707,6901079,5606930,5713890,5810490,7317128,7940595
16.0,7626030,7819559,7265870,5879174,6108018,6142794,7670040,8396610
26.0,8048514,8177237,7589330,6207904,6379464,6423417,8042916,8706855
