,1,2,A,B,C,D,E,INFINITY POOL HOUSE,SA,SB,SIMPLE BIJOU,SIMPLEX AZURE,SIMPLEX BIJOU,SKY POOL HOUSE 1,SKY POOL HOUSE 2,VERANDAH SIMPLEX
4.0,1552,1624,953,529,524,930,690,,1532,1549,1549,1532,1458,1550,1450,1731
9.0,1552,1624,953,529,525,930,715,,1532,1549,1549,1532,1549,1550,1450,1731
16.0,1552,1624,952,529,524,954,715,,1532,1549,1549,1532,1458,1550,1450,1731
