,A,AB,B,C,D,E,EF,F,G,GH,H
4.0,760,1536,776,776,760,760,1536,776,614,1229,615
9.0,760,1536,776,776,760,760,1536,776,614,1229,615
14.0,760,1536,776,776,760,760,1536,776,614,1229,615
