,A,AB,B,C,D,E,F,G,H
9.0,10762,12516,10984,11221,10942,11425,11283,11103,11138
19.0,11406,13230,11734,11666,11461,11999,11878,12153,11533
29.0,12089,13957,12434,12250,12189,12551,12539,12394,12557
