,A,AB,B,BC,C,D,E,F
5.0,6200460,10720424,4245948,13270020,7100302,7597449,4259619,5660556
12.0,6211708,11195184,4315185,13869000,7374497,7708026,4376484,5868644
20.0,6495017,11715704,4500846,14522920,7917493,8333730,4551120,5932617
