,A,B,C,D,E,F,G,H,J
9.0,12009,11533,12780,12992,12783,12810,12122,12691,11132
22.0,12800,12271,13542,13501,13824,13589,13043,13420,11597
33.0,13352,12754,14279,13948,14224,14286,13701,13947,12059
