,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5A,5B,5C,5D,6A,6C,6D,8A,8D,A,B,C
2.0,24471115,17657932,18013424,24848836,17914192,14110353,14110353,17914192,15992080,13578110,13578110,15992080,15992080,13578110,13578110,15992080,15992080,23286593,15992080,26745616,26723730,17836740,14133828,14164815
5.0,24849826,17931550,18293704,25233452,18192108,14330079,14330079,18192108,16240640,13789230,13789230,16240640,16240640,13789230,13789230,16240640,16240640,23645622,16240640,27158448,27134745,16188640,14343225,23716869
7.0,25102300,18115088,18480176,25490352,18377765,14477502,14477502,18377765,16408080,13931190,13931190,16408080,16408080,13931190,13931190,16408080,16408080,23887303,16408080,27434704,27412374,16355040,14490648,23958550
