,A,AB,B,C,CD,D,E,E & F,F
4.0,6707860,12160435,3858375,6056820,14463540,6114780,3885750,11661750,6595020
11.0,6954744,12639599,3892125,6301890,15015420,6364260,3912375,12120765,6954510
18.0,7180632,13226465,4011750,6541290,15553440,6607440,4048875,12683085,7209810
