,A01,A02,A03,A05,A06,A07,A08,A09,A10,A11,A12,A13,A15,A16,B01,B02,B03,B05,B06,B07,B08,C01,C02,C03,C05,C06,C07,D01,D02,D03,D05,D06,D07,D08
2.0,,3035214,4005045,2860641,3049494,4104480,2677143,2838864,2664175,3049494,3086265,4005045,2356914,8938904,2967344,2967344,2889396,2967344,2967344,4104480,3952500,3500301,2889396,2967344,2699024,3761046,3761046,2636459,2664175,2904464,2709930,2967344,2328813,2935062
3.0,,3050208,4025835,2892057,3064845,4125900,3064845,2829225,2294820,3064845,3095904,4025835,3045567,8985768,2982136,2982136,2904004,2982136,2317528,4125900,3974107,3520104,2904004,2982136,2776424,3780783,3780783,2650305,2678205,2919160,2705604,2982136,2349459,2949978
