,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
9.0/F低層A,9.0,低層,A,6040972,10924,553,326,3,ISL
19.0/F中層A,19.0,中層,A,6367795,11515,553,349,3,ISL
29.0/F高層A,29.0,高層,A,6520423,11791,553,356,3,ISL
9.0/F低層B,9.0,低層,B,5996928,10864,552,372,4,ISL
19.0/F中層B,19.0,中層,B,6349104,11502,552,399,4,ISL
29.0/F高層B,29.0,高層,B,6380568,11559,552,388,3,ISL
9.0/F低層C,9.0,低層,C,8833050,10905,810,328,5,ISL
19.0/F中層C,19.0,中層,C,9320670,11507,810,343,4,ISL
29.0/F高層C,29.0,高層,C,9928170,12257,810,357,4,ISL
9.0/F低層D,9.0,低層,D,6093940,11498,530,338,3,ISL
19.0/F中層D,19.0,中層,D,6358410,11997,530,347,3,ISL
29.0/F高層D,29.0,高層,D,6526420,12314,530,351,3,ISL
9.0/F低層E,9.0,低層,E,6161780,11626,530,367,4,ISL
19.0/F中層E,19.0,中層,E,6502040,12268,530,364,4,ISL
29.0/F高層E,29.0,高層,E,6371130,12021,530,345,3,ISL
9.0/F低層F,9.0,低層,F,9794520,12092,810,318,5,ISL
19.0/F中層F,19.0,中層,F,10355040,12784,810,350,5,ISL
29.0/F高層F,29.0,高層,F,10697670,13207,810,363,5,ISL
9.0/F低層G,9.0,低層,G,6301292,11626,542,364,3,ISL
19.0/F中層G,19.0,中層,G,6529474,12047,542,376,3,ISL
29.0/F高層G,29.0,高層,G,6456846,11913,542,325,3,ISL
9.0/F低層H,9.0,低層,H,6548626,11842,553,373,4,ISL
19.0/F中層H,19.0,中層,H,6890380,12460,553,370,4,ISL
29.0/F高層H,29.0,高層,H,6599502,11934,553,364,4,ISL
