,A,B,C,D,E,F,G,H,I,J,K,L,M
6.0,12794,12769,13423,12905,13759,13480,12547,13352,13941,12766,12453,12352,13042
15.0,13401,13570,13678,13596,13998,13723,13095,13689,14592,13481,13028,13353,13457
23.0,13861,13823,14067,13917,14580,14062,13709,13985,15183,14010,13607,13968,13752
