,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4
2.0,9229,11887,12698,12698,12766,9584,10554,12462,13068,10828,12949,13104
3.0,12145,11948,12755,12755,12822,12822,12835,12523,13124,11040,13006,13163
4.0,12254,12010,12821,12821,12890,12890,12903,12589,13195,11096,13075,13232
