,1A,1B,1C,1D,2A,2B,2C,2D,3A,3B,3C,3D,5A,5B,5C,5D,6A,6C,6D,8A,8D,A,B,C
2.0,16865,15682,15746,16927,15728,15027,15027,15728,15377,14921,14921,15377,15377,14921,14921,15377,15377,16669,15377,17233,17230,15660,15052,15085
5.0,17126,15925,15991,17189,15972,15261,15261,15972,15616,15153,15153,15616,15616,15153,15153,15616,15616,16926,15616,17499,17495,15566,15275,16977
7.0,17300,16088,16154,17364,16135,15418,15418,16135,15777,15309,15309,15777,15777,15309,15309,15777,15777,17099,15777,17677,17674,15726,15432,17150
