,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
3.0,1738437,1697839,1712971,1915200,1641220,1706960,2316438,1923144,1707414,1754417,1750656,1719552,1698432,1717435,1691075,1685200
8.0,1789376,1746480,1772012,1989000,1718360,1769660,2541240,1972630,1780567,1814631,1808856,1793664,1756800,1771117,1774749,1743799
12.0,1813888,1768694,1797427,2052450,1761680,1798540,2537982,2064338,1806228,1834572,1824376,1809024,1781376,1801459,1791171,1745714
