,A,A & H,B,C,D,E,F,G,H
16.0,8906500,21458908,7180800,5957000,6867088,5545120,5702275,7250960,8514946
36.0,9702680,23020516,7868160,5996100,6930168,5919760,6375025,7450906,8811990
55.0,9917940,25325208,8305920,6579150,7902504,6552560,6534875,8088088,10304778
