,1,2,A,B,C,D,E,INFINITY POOL HOUSE,SA,SB,SIMPLE BIJOU,SIMPLEX AZURE,SIMPLEX BIJOU,SKY POOL HOUSE 1,SKY POOL HOUSE 2,VERANDAH SIMPLEX
4.0,19708848,20899256,13444924,5327030,5550732,10971210,8316570,,19442612,19659908,19659908,19382864,18179802,19675700,18051050,22715913
9.0,20469328,21703136,13460172,5726425,5771325,11412030,8941075,,20193292,20418918,20418918,20130480,20418918,20435200,18749950,23584875
16.0,21515376,22812328,14193368,5988280,6057964,14204106,9498060,,21230456,21462944,21462944,21159984,19847754,21479900,19706950,24787920
