,A,AB,B,C,D,E,F,G,H
4.0,8920,10707,8903,8733,8953,8860,8900,8741,9024
9.0,9606,11211,9332,8754,9280,9280,9227,9162,9435
14.0,9759,11708,9454,9217,9701,9693,9538,9568,9548
