,1,10,2,3,5,6,7,8,9
6.0,12060,12933,12150,12792,13919,12799,12787,12970,13855
15.0,12876,14217,12380,13764,13663,13288,13108,13996,14391
22.0,13508,13478,13099,13834,14010,14230,13468,14320,14063
