,11,12,13,14,15,16,17,18,2,20,21,22,220,222,225,23,24,26,27,28,29,2931,3,30,31,32,322,332,4,412,422,5,518,6,8,9
3.0,9637,9801,9242,9279,9242,9577,9242,9550,10237,9318,9242,9555,9560,9555,9242,9300,9960,9555,9242,9555,9059,,9242,9303,9194,9247,9555,9247,9572,9560,9555,10760,9550,9307,9288,9242
4.0,9442,11483,9297,9334,9297,9699,9297,9608,9566,9618,9297,9613,9618,9613,9297,9400,9613,9613,9297,11126,9113,,9297,9358,9262,9301,9613,9301,9631,9618,9613,10818,9608,9362,9343,9297
6.0,9736,11616,9400,9437,9400,9738,9400,9717,11828,9727,9400,9722,9727,9722,9400,9505,9722,9722,9400,9722,9215,,9400,9461,9349,9404,9722,9404,9740,9727,9722,11113,9717,9465,9446,9400
