,A,B,C,CD,D,E,F
4.0,4069953,5354790,6760130,,6611875,5377324,4175982
10.0,4327452,5616896,7076755,,6947870,5660185,4365549
16.0,4511511,5706439,7274180,,7209365,5896199,4551444
