,A,AB,B,C,CD,D,E,F,G,GH,H
5.0,5826296,14320020,6393180,8507772,19347156,7597152,7250688,8485830,6067806,14320020,5907124
12.0,6005320,14597440,6448044,8651826,20067084,7846848,7570368,8896050,6454902,14597440,6068112
20.0,6386080,15139410,6871716,8999082,20890638,8108640,7720704,9291960,6720840,15139410,6310596
