,A,B,C,D,E,F,G,H
5.0,8017506,5540249,6959854,8184288,5550622,5621551,5535850,5678904
12.0,8366232,5772866,7389525,8606430,5780236,5848609,5763750,5908518
19.0,8968722,7619810,7619227,8976702,6000687,5936554,5980520,5996375
