,A,B,C,D,E,F,G,H,I,J,K,L,M
6.0,4823338,4737299,5087317,4890995,5104589,5001080,4341262,4953592,5172111,4838314,4719687,4582592,4929876
15.0,5052177,5034470,5183962,5152884,5193258,5091233,4530870,5078619,5413632,5109299,4937612,4953963,5086746
23.0,5225597,5128333,5331393,5274543,5409180,5217002,4743314,5188435,5632893,5309790,5157053,5182128,5198256
